Season,No. in series,Company,Deal ,,Entrepreneur Gender,Amount,Equity,Valuation
6,1,Sleeping Baby,Yes,,Mixed Team,200000,0.2,1000000
6,1,Bombas,Yes,,Male,200000,0.18,1142857.14
6,1,Hammer & Nails,No,,Male,,,
6,1,Amber,No,,Male,,,
6,2,Kronos,Yes,,Male,150000,0.3,500000
6,2,Roominate,Yes,,Female,500000,0.05,10000000
6,2,The Floating Mug Co.,No,,Male,,,
6,2,Wedding Wagon,No,Wedding / Bridal,Male,,,
6,3,Heart Pup,Yes,,Female,50000,0.4,125000
6,3,SoapSox,No,,Male,,,
6,3,Ninja Cards,No,,Male,,,
6,3,DrumPants,No,,Mixed Team,,,
6,4,Paper Box Pilots,Yes,,Male,35000,0.5,70000
6,4,Reviver,Yes,,Male,150000,0.15,1000000
6,4,FunCakes Rental,No,,Female,,,
6,4,Table Jacks,No,,Male,,,
6,5,The Red Dress Boutique,Yes,,Mixed Team,1200000,0.2,6000000
6,5,SunStaches,Yes,,Male,300000,0.2,1500000
6,5,Jungle JumpaRoo,No,,Mixed Team,,,
6,5,The Caddy Girls,No,,Female,,,
6,6,Honeyfund,Yes,Wedding / Bridal,Mixed Team,400000,0,
6,6,BeatBox Beverages,Yes,,Mixed Team,1000000,0.33,3030303.03
6,6,Oilerie USA,No,,Male,,,
6,6,EmergenSee,No,,Male,,,
6,7,Myself Belts,Yes,,Female,75000,0.25,300000
6,7,Titin,Yes,,Male,500000,0.2,2500000
6,7,SingTrix,No,,Male,,,
6,7,Beardbrand,No,,Male,,,
6,8,The Natural Grip,Yes,,Female,125000,0.25,500000
6,8,Bottle Breacher,Yes,,Male,150000,0.2,750000
6,8,Man-Pack,No,,Male,,,
6,8,Priority One Canine,No,,Mixed Team,,,
6,9,Heidi Ho,Yes,,Female,125000,0.3,416666.67
6,9,Squatty Potty,Yes,,Mixed Team,350000,0.1,3500000
6,9,Pipsnacks,Yes,,Mixed Team,200000,0.1,2000000
6,9,Storm Stoppers,No,,Male,,,
6,10,MagicCook,Yes,,Female,100000,0.33,303030.3
6,10,Earth Log,Yes,,Male,160000,0.3,533333.33
6,10,Kitchen Safe,Yes,,Male,100000,0.2,500000
6,10,Off the Cob,No,,Male,,,
6,11,Biaggi,Yes,,Male,500000,0.33,1515151.52
6,11,Gameday Couture,Yes,,Mixed Team,500000,0.3,1666666.67
6,11,Zipz,Yes,,Male,2500000,0.1,25000000
6,11,Soaps Washes and Grooming Essentials (aka S.W.A.G. Essentials),No,,Female,,,
6,12,Hoppy Paws,Yes,,Female,100000,0.49,204081.63
6,12,Q-Flex,Yes,,Female,25000,0.25,100000
6,12,The Mensch on a Bench,Yes,,Male,150000,0.15,1000000
6,12,Eve Drop,No,,Male,,,
6,13,Bantam Bagels,Yes,,Mixed Team,275000,0.25,1100000
6,13,Doorman,Yes,,Male,250000,0.12,2083333.33
6,13,SkinnyShirt,No,,Female,,,
6,13,Coffee Meets Bagel,No,,Female,,,
6,14,Evrewares,Yes,,Female,200000,1,200000
6,14,Bottle Bright,Yes,,Male,75000,0.33,227272.73
6,14,Scratch & Grain Baking Co,Yes,,Female,150000,0.2,750000
6,14,Vestpakz,No,,Male,,,
6,15,TurboPUP,Yes,,Mixed Team,100000,0.35,285714.29
6,15,Lumio,Yes,,Male,350000,0.1,3500000
6,15,Bello Verde,No,,Male,,,
6,15,Napwell,No,,Male,,,
6,16,GreenBox,Yes,,Mixed Team,300000,0.1,3000000
6,16,Phonesoap,Yes,,Male,300000,0.1,3000000
6,16,Victoria's Kitchen,No,,Mixed Team,,,
6,16,Tycoon Real Estate,No,,Mixed Team,,,
6,17,Fresh Patch,Yes,,Mixed Team,150000,0.2,750000
6,17,Drain Strain,Yes,,Male,110000,0.1,1100000
6,17,Balm Chicky Balm Balm,No,,Female,,,
6,17,BedJet,No,,Male,,,
6,18,BeverageBoy,Yes,,Male,50000,0.35,142857.14
6,18,FunBites,Yes,,Female,75000,0.25,300000
6,18,The Lip Bar,No,,Female,,,
6,18,Himalayan Dog Chew,No,,Male,,,
6,19,Boobypack,Yes,,Female,80000,0.25,320000
6,19,Gold Rush Nugget Bucket,Yes,,Male,60000,0.25,240000
6,19,Sseko Designs,No,,Mixed Team,,,
6,19,Lumi,No,,Female,,,
6,20,LuminAid,Yes,,Female,300000,0.15,2000000
6,20,Scholly,Yes,,Male,40000,0.15,266666.67
6,20,Keen Home,Yes,,Male,750000,0.13,5769230.77
6,20,Taaluma,No,,Mixed Team,,,
6,21,Coco Jack,Yes,,Male,125000,0.25,500000
6,21,BedRyder,No,,Male,,,
6,21,Frill,Yes,,Female,100000,0.2,500000
6,21,Twin Z Pillow,Yes,,Mixed Team,75000,0.2,375000
6,22,Echo Valley Meats,Yes,,Male,150000,0.25,600000
6,22,Emazing Lights,Yes,,Male,650000,0.05,13000000
6,22,acqua vault,Yes,,Male,75000,0.25,300000
6,22,Naja,No,,Female,,,
6,23,Bee Sweet Lemonade,Yes,,Mixed Team,60000,0.25,240000
6,23,Brand Yourself,No,,Male,,,
6,23,iC Pooch,No,,Mixed Team,,,
6,23,The Home T,No,,Male,,,
6,24,Budsies,No,,Male,,,
6,24,bee thinking,No,,Male,,,
6,24,PullyPalz,Yes,,Female,100000,0.28,357142.86
6,24,Forus,No,,Male,,,
6,25,NeatCheeks,Yes,,Female,150000,0.25,600000
6,25,Melni,Yes,,Male,500000,0.12,4166666.67
6,25,Beneath the Ink,No,,Mixed Team,,,
6,25,PittMoss,Yes,,Male,600000,0.35,1714285.71
6,26,ZinePak,Yes,,Female,725000,0.18,4142857.14
6,26,snagastool,No,,Male,,,
6,26,Buck Mason,No,,Male,,,
6,26,Noene,Yes,,Male,200000,0.3,666666.67
6,27,AirCar,Yes,,Male,5000000,0.5,10000000
6,27,Paleo Diet Foods,No,,Female,,,
6,27,World Record Striper Company,Yes,,Male,50000,0.33,151515.15
6,27,Frameri,No,,Male,,,
6,28,Zoom,Yes,,Female,100000,0.33,303030.3
6,28,Sunscreen Mist,No,,Male,,,
6,28,SynDaver Labs,Yes,,Male,3000000,0.25,12000000
6,28,You Kick Ass,Yes,,Female,100000,0.1,1000000
6,29,Shark Wheel,Yes,,Male,225000,0.08,3000000
6,29,Gato Cafe,No,,Female,,,
6,29,Sway Motorsports,Yes,,Male,300000,0.2,1500000
6,29,Spikeball,Yes,,Male,500000,0.2,2500000